freq,Vout_fund,Vin_fund,cg_linear,cg_dB
500000000.0,(0.00908488891947773-0.005939240108867847j),(0.0005534467758872227-0.0008677980879598908j),10.545457647358695,20.461308636293907
600000000.0,(0.010593809750729885-0.005171201361212709j),(0.00042233928433767047-0.0007922193197408585j),13.131008405202987,22.36596158652471
700000000.0,(0.011760908509718428-0.004173533904344067j),(0.00033035105424662254-0.0007205474388125455j),15.743663741443212,23.942116107523745
800000000.0,(0.012624653559397295-0.0030729985470714268j),(0.0002643498922962391-0.0006565140819370001j),18.35890424572243,25.276935133995675
900000000.0,(0.013236406714278172-0.0019343675140383364j),(0.00021586662540087502-0.0006005639726535109j),20.961131732729314,26.42829454715976
1000000000.0,(0.013641111905906866-0.0007883783326511513j),(0.00017943422870738386-0.0005520057193116392j),23.540673537504752,27.436377691335217
1100000000.0,(0.013873892344928659+0.0003491476113479345j),(0.00015147990674070579-0.0005098502853451603j),26.093019219916695,28.330486683334723
1200000000.0,(0.013960714983659082+0.001470040753265091j),(0.00012962494152759951-0.00047312284064347814j),28.61614278621393,29.132221882984666
1300000000.0,(0.013920461539431564+0.002569500005084421j),(0.00011225109760335233-0.0004409637392854056j),31.109425076704834,29.85783970252008
1400000000.0,(0.013766837069282133+0.003643822816042087j),(9.82332664842729e-05-0.0004126478004896771j),33.57284135399334,30.519761964752547
1500000000.0,(0.013509686392791235+0.004689489980649837j),(8.677283430240718e-05-0.0003875745072135922j),36.005928295940485,31.127480245484172
1600000000.0,(0.013156980593133414+0.005702406644816802j),(7.729194487454e-05-0.0003652498329423532j),38.409080813514464,31.688678279520566
1700000000.0,(0.012715092522643384+0.006677946743860991j),(6.936504356555863e-05-0.00034526755754581763j),40.78200294011606,32.209371032314046
1800000000.0,(0.012189211637921048+0.00761110398488968j),(6.267365855694974e-05-0.00032729273669197123j),43.123074541954466,32.69419434274073
1900000000.0,(0.011584239841465036+0.00849646565733906j),(5.697595184844848e-05-0.00031104793871011713j),45.43022886722435,33.14689849395145
2000000000.0,(0.010905251013383545+0.00932831993290214j),(5.208584380181882e-05-0.00029630209748202367j),47.70120506822671,33.57058701387163
2100000000.0,(0.010157641017211266+0.010100912402841559j),(4.785846378649222e-05-0.0002828615990425456j),49.93353028926226,33.967845433237954
2200000000.0,(0.00934731584281187+0.010808672267876978j),(4.417985960784304e-05-0.0002705631871398912j),52.12485616536733,34.340897391608095
2300000000.0,(0.00848076715059326+0.011446464393362858j),(4.095962722700921e-05-0.0002592683205943616j),54.27334688590339,34.69173208268987
2400000000.0,(0.007565041926536706+0.012009858159292j),(3.812558242044998e-05-0.00024885868288456944j),56.378167638126406,35.0222191328818
2500000000.0,(0.006607608110478752+0.012495371730382466j),(3.5619884947548034e-05-0.00023923260826775577j),58.44002347561457,35.33420763440597
2600000000.0,(0.005616095178309775+0.012900679494187965j),(3.339623615148961e-05-0.000230302235266444j),60.461730423091375,35.62961145175679
2700000000.0,(0.0045979186918821136+0.013224716085610681j),(3.141783000311177e-05-0.00022199132249746257j),62.44867156599569,35.91046408632672
2800000000.0,(0.003559805741134401+0.013467625635764284j),(2.965586008376172e-05-0.00021423359811216579j),64.40901236056445,36.17893279583504
2900000000.0,(0.0025072530228695913+0.013630499539426974j),(2.8088472373869417e-05-0.0002069715784801866j),66.35349756541555,36.437276398817225
3000000000.0,(0.0014439826960619298+0.013714809292212705j),(2.6700010455389855e-05-0.0002001558860242038j),68.29442231134806,36.687704715411286
3100000000.0,(0.0003715527302017192+0.013721433565998354j),(2.5480311794401218e-05-0.00019374512265042036j),70.2431829346198,36.93208365124746
3200000000.0,(-0.0007105728832458518+0.013649285007240356j),(2.4423810816775835e-05-0.00018770625398416852j),72.2059917998955,37.17146475406872
3300000000.0,(-0.001804262008728839+0.013493598623642914j),(2.3528128888656064e-05-0.00018201540104997353j),74.17701136963429,37.40538662789082
3400000000.0,(-0.002910736748285505+0.013244304117125596j),(2.27917316383069e-05-0.00017665871951354998j),76.12936356307932,37.6310439826525
3500000000.0,(-0.004027177089900621+0.01288525355725145j),(2.2210344950251217e-05-0.00017163266277418835j),78.00547936766557,37.84250220138958
3600000000.0,(-0.0051422009833611846+0.012395518664488599j),(2.1772294433249873e-05-0.00016694250857308596j),79.71074064263236,38.030336889038125
3700000000.0,(-0.006231614923172681+0.011753934755220751j),(2.1453911544089582e-05-0.00016259796845454044j),81.1164508225619,38.1821788048007
3800000000.0,(-0.007257012189809859+0.01094695081025182j),(2.121731685837511e-05-0.0001586055940997587j),82.07755254231773,38.284487956033814
3900000000.0,(-0.008169870421764886+0.009977513249232928j),(2.1013174242697375e-05-0.00015495979449124935j),82.46452548215014,38.32534328599766
4000000000.0,(-0.008921498711308632+0.008870571806984898j),(2.078911400999448e-05-0.0001516364158949212j),82.19892741822723,38.29732301275127
4100000000.0,(-0.009475340497393164+0.00767127836573069j),(2.050104868891477e-05-0.00014859275183190176j),81.27591854156242,38.19923772768879
4200000000.0,(-0.009815818447094804+0.006435879765220635j),(2.0122117224269498e-05-0.00014577453632237046j),79.76243537770182,38.03596811543763
4300000000.0,(-0.009949846126813253+0.00521969884335479j),(1.9645349092843973e-05-0.00014312632915974838j),77.77392998653177,37.81668089599631
4400000000.0,(-0.009901661768105708+0.004067609920209396j),(1.9080094055575215e-05-0.00014060035931831192j),75.44340337735312,37.55242543834598
4500000000.0,(-0.00970473556782433+0.00300979224820487j),(1.8445330469364483e-05-0.000138160970281959j),72.89602830543984,37.254077333980874
4600000000.0,(-0.00939442229509959+0.002062230273426795j),(1.7763216098389196e-05-0.00013578479668182087j),70.2350164061521,36.931073764084765
4700000000.0,(-0.009003191851734838+0.0012297668357957267j),(1.7054671432591007e-05-0.00013345845443506088j),67.5378232654595,36.590941185498224
4800000000.0,(-0.008558413240229273+0.0005097376984635565j),(1.6337181625716443e-05-0.00013117551270902235j),64.8585204408799,36.23934074560724
4900000000.0,(-0.008081909095116723-0.00010492785770074853j),(1.5624206778475783e-05-0.00012893380998902151j),62.23263761677715,35.88036416307246
5000000000.0,(-0.007590442351165929-0.0006234797660775675j),(1.4925477414216301e-05-0.00012673348559682774j),59.682191340353555,35.516895213404794
5100000000.0,(-0.007096550350025018-0.0010559215107141318j),(1.4247645090349312e-05-0.00012457570710142202j),57.219897633097425,35.15094153026545
5200000000.0,(-0.006609403705515928-0.0014121720233922143j),(1.3594981670096524e-05-0.0001224619182531414j),54.85229718517296,34.783896406292484
5300000000.0,(-0.006135565260174997-0.001701626380891652j),(1.297000421627423e-05-0.00012039345631872476j),52.58199406891278,34.41674103696801
5400000000.0,(-0.005679597478564947-0.0019329421798518127j),(1.2373966164064558e-05-0.00011837136646951047j),50.4090984901802,34.05017861282131
5500000000.0,(-0.005244540457532434-0.0021139654296465607j),(1.1807234036431362e-05-0.00011639634562489699j),48.33218964653319,33.68472941813675
5600000000.0,(-0.004832278262533661-0.002251728320887824j),(1.1269563024030662e-05-0.00011446874707550542j),46.348922342435934,33.32079281656851
5700000000.0,(-0.004443819430426674-0.0023524843034065245j),(1.0760295720145103e-05-0.00011258861387183815j),44.45640785896043,32.958687363365144
5800000000.0,(-0.004079512239792215-0.0024217606286734243j),(1.0278503207689502e-05-0.00011075572281126122j),42.651448965783466,32.598675794317074
5900000000.0,(-0.003739211508590504-0.00246441797988908j),(9.823085956642377e-06-0.00010896962907493076j),40.93068901382913,32.24098110956081
6000000000.0,(-0.0034224082413036165-0.002484711487099696j),(9.39284477822804e-06-0.00010722970778582994j),39.29070397648141,31.885796203806656
6100000000.0,(-0.003128331116620026-0.002486350314125157j),(8.986530952471835e-06-0.00010553519052779779j),37.728061421228894,31.53328980892706
6200000000.0,(-0.002856025678067577-0.0024725548337704846j),(8.602881953806202e-06-0.00010388519653266412j),36.23935888318936,31.18361011786813
6300000000.0,(-0.002604416983482514-0.002446109336181771j),(8.240645803801382e-06-0.00010227875916270638j),34.82124981258666,30.836887097239554
6400000000.0,(-0.0023723580792833353-0.0024094114976989426j),(7.898598399124066e-06-0.00010071484785325665j),33.47046163290941,30.493234045926172
6500000000.0,(-0.0021586676182370266-0.002364517642453597j),(7.57555518882527e-06-9.919238638822753e-05j),32.18380865411201,30.152748750255945
