Selected case, Best Cost found at iteration, Best Cost (final_expected_cost)
case1,ablation2_43_1, -18.830063994791026
Number of Particles, Number of Iterations
14, 44
Condition, Softmax Temperature
False, 1.0
Alpha Parameter, Alpha Value
case1_mn1_0, 4.338732394675383e-05
case1_mn1_1, 4.338732394675383e-05
case1_mn1_2, 4.338732394675383e-05
case1_mn1_3, 0.9556694068413716
case1_mn1_4, 4.441977095792608e-05
case1_mn1_5, 0.044156011415830206
case1_lna_ss0, 0.005256545302468423
case1_lna_ss1, 0.967465651587412
case1_lna_ss2, 0.02727780311011952
case1_mn2_0, 0.9897102269013704
case1_mn2_1, 4.4932774786535164e-05
case1_mn2_2, 0.0005816882943251382
case1_mn2_3, 0.005100183781972495
case1_mn2_4, 0.004488471258760269
case1_mn2_5, 7.449698878501071e-05
case1_mn3_0, 0.00015196409424392913
case1_mn3_1, 6.575140837037491e-05
case1_mn3_2, 0.9979958909614375
case1_mn3_4, 0.001786393535948162
