outer_iter,case1_cost,case1_mn1_0,case1_mn1_1,case1_mn1_2,case1_mn1_3,case1_mn1_4,case1_mn1_5,case1_lna_ss0,case1_lna_ss1,case1_lna_ss2,case1_mn2_0,case1_mn2_1,case1_mn2_2,case1_mn2_3,case1_mn2_4,case1_mn2_5,case1_mn3_0,case1_mn3_1,case1_mn3_2,case1_mn3_4,case2_cost,case2_mn1_0,case2_mn1_1,case2_mn1_2,case2_mn1_3,case2_mn1_4,case2_mn1_5,case2_lna_ss0,case2_lna_ss1,case2_lna_ss2,case2_mn2_0,case2_mn2_1,case2_mn2_2,case2_mn2_3,case2_mn2_4,case2_mn2_5,case2_add_sd1,case2_add_sd2,case2_mn3_1_p,case2_mn3_2_p,case2_mn3_4_p,case2_mx_dd1,case2_mx_dd2,case3_cost,case3_mn1_0,case3_mn1_1,case3_mn1_2,case3_mn1_3,case3_mn1_4,case3_mn1_5,case3_mn2_0_p,case3_mn2_1_p,case3_mn2_2_p,case3_mn2_3_p,case3_mn2_4_p,case3_mn2_5_p,case3_add_dd0,case3_add_dd1,case3_mn3_1_p,case3_mn3_2_p,case3_mn3_4_p,case3_mx_dd1,case3_mx_dd2
0,286.8785707598179,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,222.5771603902999,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,223.1080002623823,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
1,36.448117979419195,4.699326239217282,6.490336148666997,4.654122264551694,5.49091819161596,10.0,6.029400675298343,4.522848162796569,3.5868674617224094,6.781502763093926,7.271682309457377,3.9146855325633054,1.9454677458443372,4.068733598810079,3.2900163837611456,5.177795845576102,4.834767704435384,8.157483834928998,0.5103073392752787,2.250182889869288,41.411860389231975,3.659286068698556,7.481908419006447,2.7615657726102487,5.382963895163976,4.8818739704736105,3.734583206952314,3.364386081807623,7.416636190493395,4.869212511252707,6.24136526448161,4.837725777604741,3.77244409609993,4.8266693130572484,4.234288770206224,2.5894134538147178,4.728228918986228,1.1573600909789965,0.0,5.249551822853753,3.7938265117590744,3.993533440224494,5.7279217001953135,38.92391710176166,4.502726827088249,5.129452689040142,7.685346337416121,5.274539715590186,5.292666886832086,1.685853376080916,3.430533636186166,6.894717059306114,5.344365898329961,4.379062950674938,7.83676811315018,4.4455323688894115,2.536477261664107,4.093864992184943,3.4273083612874298,4.765613949912312,4.522097117800193,2.9143320227370384,5.319614895803898
2,-1.1710792261904455,4.30779767185367,7.229809773701182,4.199607845172252,6.535091098533012,10.0,7.155410654179508,4.253940008696726,3.195434929686016,7.854339928584551,10.0,4.007733207218121,0.0,3.2182256290153823,4.237697539827544,5.214897986173398,5.026489052284807,9.862146550958512,0.0,1.3375029226133148,1.7090255678843973,2.059131355792271,7.161587392654918,1.805922179453101,4.814477160773817,4.960833630319365,4.035918294049553,1.8379412225828178,10.0,5.015490228125124,7.432560470775514,5.39148208230416,3.0555644463771636,5.1115678177789095,2.5322940491898014,2.338461293337047,3.1978889119910408,0.0,0.0,4.925498342212036,3.8070330996346344,3.9896545170143565,5.691962722568406,5.996124249553919,4.637518165454685,5.176171515245562,10.0,7.503928598168523,5.411539312937151,3.081199585586691,2.0161817634295787,9.217424467088817,6.45939794528912,2.870195881054976,10.0,4.835331060083867,0.0,2.8716277862165764,2.211553782196278,5.388485489200524,2.9832413881718804,2.1170814057825265,5.836688154366976
3,-8.109036386112303,4.150652031998178,6.1560170960378775,4.2078949323349475,6.673615782660486,10.0,4.45893260597378,4.263219800679525,5.333566130881383,10.0,10.0,3.9584643121774454,0.0,2.024492929247963,4.989286717243385,5.361199071611082,4.975086595046278,8.55088166539362,1.1558022634127072,1.627592792251147,-7.916545296184221,0.0,8.354685315622628,0.0,5.0614053917340565,4.991181424110936,3.63388305750043,0.0,10.0,4.796983860449273,7.592292174488653,5.33967260117395,1.821752066274635,4.417027439019222,1.654344954394672,2.9952773601806415,2.102753360704736,0.0,0.0,4.1760275848344275,3.3129155673911876,3.758467697077413,5.74090525380299,-13.83892074990383,4.426041775004916,5.581174676396796,10.0,7.3537099209532935,5.353921605608741,3.5473756617269343,0.0,9.006842370741083,6.271961346346723,3.096041057589765,10.0,4.514712379548091,0.0,4.849458957191196,1.7252402168751522,5.172847784321479,2.069482586599836,1.3781068154639389,6.117197562345227
4,-10.790920569348897,2.764953650321799,6.148574195135183,4.537582957009756,4.854920974705758,10.0,3.1976297936898463,4.849152033128011,5.690902820459341,10.0,10.0,3.200668322278244,0.0,0.8659205515515077,4.15318037545032,5.591615556285724,4.818917105700146,9.79379684908642,0.0,0.0,-10.205773425826424,0.0,8.354685315622628,0.0,5.0614053917340565,4.991181424110936,3.63388305750043,0.0,10.0,4.796983860449273,7.592292174488653,5.33967260117395,1.821752066274635,4.417027439019222,1.654344954394672,2.9952773601806415,2.102753360704736,0.0,0.0,4.1760275848344275,3.3129155673911876,3.758467697077413,5.74090525380299,-13.83892075151539,4.426041775004916,5.581174676396796,10.0,7.3537099209532935,5.353921605608741,3.5473756617269343,0.0,9.006842370741083,6.271961346346723,3.096041057589765,10.0,4.514712379548091,0.0,4.849458957191196,1.7252402168751522,5.172847784321479,2.069482586599836,1.3781068154639389,6.117197562345227
5,-12.986478228283058,1.8102847969574634,6.293551854085,4.604601804971157,4.853661175662988,10.0,2.3677002411446444,4.120158091317392,7.726689936737385,10.0,10.0,2.412512869935579,0.0,0.0,4.352595239533568,5.635983097403053,4.459227883934552,10.0,2.4288454184789394,0.0,-19.001378423269912,0.0,7.925622021111199,0.0,4.797082791229186,5.315884353947652,3.7124713491228363,0.0,10.0,2.967737334616688,8.853469722705764,5.452362418994187,4.166967197038314,3.5786130046298528,0.6149089460093722,1.134480779050175,3.4706772748203605,0.0,0.0,4.215126888551731,1.4241739311685442,2.92207828873444,5.6808460330074215,-13.838920753985104,4.426041775004916,5.581174676396796,10.0,7.3537099209532935,5.353921605608741,3.5473756617269343,0.0,9.006842370741083,6.271961346346723,3.096041057589765,10.0,4.514712379548091,0.0,4.849458957191196,1.7252402168751522,5.172847784321479,2.069482586599836,1.3781068154639389,6.117197562345227
6,-18.785210141035144,2.6582359910582767,4.71329104361374,4.725788718901275,4.579347534911716,10.0,1.5786549635822014,4.663273907760058,7.7096575007151324,10.0,10.0,2.6309220618811056,0.0,0.0,4.078754513270193,5.111707618419999,4.971488497719103,10.0,2.8064658150610513,0.0,-27.241599092715006,0.0,10.0,3.214024128524902,3.8785870295444633,5.100755874591728,1.82244409269005,0.0,10.0,0.7752992196292849,9.636819573887836,5.205871055777186,4.201391632291744,3.6236626722656586,0.07014116449889735,0.0,2.420843402251174,0.0,0.0,4.1937574218976135,0.0,3.1592635224533137,5.663972492793471,-17.86652439363878,4.426041775004916,5.581174676396796,10.0,7.3537099209532935,5.353921605608741,3.5473756617269343,0.0,9.006842370741083,6.271961346346723,3.096041057589765,10.0,4.514712379548091,0.0,4.849458957191196,1.7252402168751522,5.172847784321479,2.069482586599836,1.3781068154639389,6.117197562345227
7,-20.552293467008994,2.5014625402694906,4.678391727286863,4.81806046848429,4.692325801109807,10.0,0.9789508243252686,4.756830501906045,5.993400971449643,10.0,10.0,0.0,0.0,0.0,4.064049184187029,6.036011185092642,4.680172650912034,10.0,4.663595306147581,0.0,-28.626747683216326,0.0,10.0,2.8288389175451316,3.9501537189018987,4.970725229202993,2.435147116115596,0.0,10.0,0.3603876627259579,10.0,5.588177194639534,4.668906086055532,3.839935615637453,0.0,0.0,2.4760761742747395,0.0,0.0,4.470033103065861,0.0,1.7810739059990768,5.3084294228900575,-18.62861647197161,4.410356783463865,5.400342705443373,10.0,7.825132964885141,5.219823017158718,4.639767395762541,0.0,8.669882733562238,6.093794154160789,2.673838494921453,10.0,4.362962529026792,0.0,5.4641815538740675,1.4412582874660904,5.117453426531057,2.2577007381165695,0.8156553414387004,6.306334979038746
8,-22.82600750975988,0.0,1.9595420344459709,2.1131688036204372,4.908865249861157,10.0,0.0,4.753475738414704,4.5016585676435135,10.0,10.0,0.0,0.0,0.0,3.2633613322969985,6.135500812481283,4.312418634604106,10.0,3.0792586255894463,0.0,-29.997464194863316,0.0,10.0,1.4962774605079816,4.219877517635544,5.107052552912924,4.6284563463046915,0.0,10.0,1.242824074859834,10.0,6.7633833927090965,5.374360063070098,4.230336187013202,0.0,0.0,4.9743706548886815,0.0,0.0,5.370417730317151,0.0,0.0,3.6411293754384486,-19.308791042100516,4.410356783463865,5.400342705443373,10.0,7.825132964885141,5.219823017158718,4.639767395762541,0.0,8.669882733562238,6.093794154160789,2.673838494921453,10.0,4.362962529026792,0.0,5.4641815538740675,1.4412582874660904,5.117453426531057,2.2577007381165695,0.8156553414387004,6.306334979038746
9,-22.840582802576286,0.0,1.1700099200936322,1.4167189734070735,5.330038900881314,10.0,0.0,4.968068306126817,4.062148665567568,10.0,10.0,0.0,0.0,0.0,3.1739865909927416,4.846840409857986,3.566350842065368,10.0,2.390850561766946,0.0,-30.29034135328615,0.0,10.0,1.1812034075520121,3.5555017540181306,5.411268144321716,3.123660097061495,0.0,10.0,1.741736621218576,10.0,5.715228434782065,5.578582671883759,4.5745196530696095,1.443678482213425,0.0,4.602177519726011,0.0,0.0,5.9726562299955015,0.0,0.0,4.935047612055491,-19.349561842427924,4.410356783463865,5.400342705443373,10.0,7.825132964885141,5.219823017158718,4.639767395762541,0.0,8.669882733562238,6.093794154160789,2.673838494921453,10.0,4.362962529026792,0.0,5.4641815538740675,1.4412582874660904,5.117453426531057,2.2577007381165695,0.8156553414387004,6.306334979038746
