[CASE1] Best Cost found at iteration, [CASE2] Best Cost found at iteration, [CASE3] Best Cost found at iteration, Final_Cost, Expected_Cost, Difference_Cost
10, 10, 10, -30.72, -30.33, 0.38
Total Entire Iterations, Alpha Iterations, Alpha Particles, Omega Iterations, Omega Particles, Elapsed time for optimization (s)
10, 6, 5, 4, 8, 138371.57
Selected Case, MN1, LNA, MN2, ADD, MN3, MX
case2,case2_mn1_1,case2_lna_ss1,case2_mn2_0,case2_add_sd1,case2_mn3_2_p,case2_mx_dd2,
Omega Parameter,Value
case2_MN1_1.MN_C,1.8484213000445915
case2_Vb_mn1_1,1.0720104743553476
case2_LNA_ss1.L1,0.16110834106121774
case2_LNA_ss1.L2,0.15697043662380092
case2_LNA_ss1.L3,0.1676005537449936
case2_LNA_ss1.L4,0.17728878831770642
case2_LNA_ss1.W1,18.877402954596896
case2_LNA_ss1.W2,20.65980440126925
case2_LNA_ss1.W3,25.0
case2_LNA_ss1.W4,7.076753364861736
case2_LNA_ss1.R1,1976.7612658581804
case2_LNA_ss1.C1,1.5
case2_Vb_lna_ss1,1.2796675473753427
case2_ADD_sd1.L1,0.13
case2_ADD_sd1.L2,0.1793448809402647
case2_ADD_sd1.L3,0.1704203596618935
case2_ADD_sd1.W1,14.35196889695101
case2_ADD_sd1.W2,21.857131406671396
case2_ADD_sd1.W3,14.038090012839259
case2_Vb3_add_sd1,0.8345843990824406
case2_MN3_2_P.MN_C,7.83024944957494
case2_MN3_2_N.MN_C,4.680799339552557
case2_MN3_2_P.MN_L,8.033686446669702
case2_MN3_2_N.MN_L,6.8128837442131625
case2_Vb_mn3_2_p,0.8
case2_MX_dd2.L1,0.1526892755038905
case2_MX_dd2.L2,0.13
case2_MX_dd2.L3,0.17474411964420422
case2_MX_dd2.W1,5.0
case2_MX_dd2.W2,23.389454923983156
case2_MX_dd2.W3,6.456700520222751
case2_MX_dd2.R_l,1714.8140390884498
case2_Vb_mx_dd2,1.3479959961301036
case2_Vb_mnlo_mx_dd2,1.1200060271730754
case2_LNA_ss1.R_f,20000
case2_Vdd_lna_ss1,2.5
case2_Vdd_add_sd1,2.5
case2_Vb1_add_sd1,1.8
case2_Vdd_mx_dd2,2.5
Alpha Parameter,Value
case2_mn1_0,4.4790069604514314e-05
case2_mn1_1,0.9865669360908467
case2_mn1_2,5.065809606724577e-05
case2_mn1_3,0.002524629408017766
case2_mn1_4,0.01018386493179079
case2_mn1_5,0.0006291214036728873
case2_lna_ss0,5.298279784076549e-05
case2_lna_ss1,0.9998384633136207
case2_lna_ss2,0.00010855388853855781
case2_mn2_0,0.9638407600359103
case2_mn2_1,0.014162794784998238
case2_mn2_2,0.01750884240619094
case2_mn2_3,0.004270130817586498
case2_mn2_4,0.00017371365250602952
case2_mn2_5,4.3758302807850345e-05
case2_add_sd1,0.9924367397754489
case2_add_sd2,0.00756326022455114
case2_mn3_1_p,0.002438861737195749
case2_mn3_2_p,0.9951222765256085
case2_mn3_4_p,0.002438861737195749
case2_mx_dd1,0.008356069730399186
case2_mx_dd2,0.9916439302696008
