Best Cost
-34.74515496244916
Best Inner Iteration, Elapsed time (s), Omega Inner Iterations, Omega Particles
23,4445.962915897369,24,18
fc1_target,fc2_target,fc1_bw_target,fc2_bw_target
2400000000.0,5000000000.0,,,
Omega Parameter,Value
case2_MN1_3.MN_C,6.945336748724103
case2_MN1_3.MN_L,1.0
case2_LNA_ss2.L1,0.14831177171261162
case2_LNA_ss2.L2,0.13098209956938497
case2_LNA_ss2.L3,0.17494459119467215
case2_LNA_ss2.L4,0.13
case2_LNA_ss2.W1,25.0
case2_LNA_ss2.W2,13.578524609530968
case2_LNA_ss2.W3,10.568662210540323
case2_LNA_ss2.W4,5.0
case2_LNA_ss2.R_l,899.625569477419
case2_LNA_ss2.C_l,0.1
case2_LNA_ss2.L_l,10.0
case2_LNA_ss2.R_s,2020.0
case2_LNA_ss2.C_s,1.2743252134993648
case2_LNA_ss2.L_s,7.2161995197985505
case2_LNA_ss2.C1,1.5
case2_Vb_lna_ss2,0.8554905375320432
case2_MN2_2.MN_C,0.16362134800265274
case2_MN2_2.MN_L,10.0
case2_Vb_mn2_2,0.9691210818161532
case2_ADD_sd2.L1,0.17998345345209446
case2_ADD_sd2.L2,0.13
case2_ADD_sd2.L3,0.1745678580103302
case2_ADD_sd2.W1,25.0
case2_ADD_sd2.W2,18.48716404206861
case2_ADD_sd2.W3,19.421822387039064
case2_ADD_sd2.R_l,426.79714263993435
case2_Vb_add_sd2,2.0
case2_MX_dd1.L1,0.13
case2_MX_dd1.W1,5.0
Always Set Omega Parameter,Value
case1_MN1_4.MN_C,1000.0
case1_LNA_ss1.R_f,20000
case1_Vdd_lna_ss1,2.5
case1_Vdd_lna_ss2,2.5
case1_MN2_4.MN_C,1000.0
case1_MN3_4.MN_C,1000.0
case1_Vdd_mx_sd1,2.5
case2_MN1_4.MN_C,1000.0
case2_LNA_ss1.R_f,20000
case2_Vdd_lna_ss1,2.5
case2_Vdd_lna_ss2,2.5
case2_MN2_4.MN_C,1000.0
case2_Vdd_add_sd1,2.5
case2_Vb1_add_sd1,1.8
case2_Vdd_add_sd2,2.5
case2_MN3_4_P.MN_C,1000.0
case2_MN3_4_N.MN_C,1000.0
case2_Vdd_mx_dd2,2.5
case3_MN1_4.MN_C,1000.0
case3_Vdd_lna_sd1,2.5
case3_MN2_4_P.MN_C,1000.0
case3_MN2_4_N.MN_C,1000.0
case3_Vdd_add_dd1,2.5
case3_MN3_4_P.MN_C,1000.0
case3_MN3_4_N.MN_C,1000.0
case3_Vdd_mx_dd2,2.5
